Season,Team,squad_value_m,value_rank,value_share
2018_2019,Man United,797.6,5,0.0813
2018_2019,Arsenal,659.05,6,0.0672
2018_2019,Everton,529.1,7,0.054
2018_2019,Leicester,434.1,8,0.0443
2018_2019,West Ham,359.0,9,0.0366
2018_2019,Bournemouth,310.0,10,0.0316
2018_2019,Southampton,305.4,11,0.0311
2018_2019,Wolves,302.9,12,0.0309
2018_2019,Crystal Palace,289.0,13,0.0295
2018_2019,Fulham,254.25,14,0.0259
2018_2019,Newcastle,244.65,15,0.025
2018_2019,Watford,239.1,16,0.0244
2018_2019,Burnley,197.25,17,0.0201
2018_2019,Brighton,194.35,18,0.0198
2018_2019,Huddersfield,137.45,19,0.014
2018_2019,Cardiff,113.0,20,0.0115
2019_2020,Man City,1050.0,1,0.1265
2019_2020,Liverpool,1000.0,2,0.1205
2019_2020,Tottenham,806.8,3,0.0972
2019_2020,Chelsea,705.85,4,0.085
2019_2020,Man United,670.45,5,0.0808
2019_2020,Arsenal,607.65,6,0.0732
2019_2020,Everton,420.55,7,0.0507
2019_2020,Leicester,411.1,8,0.0495
2019_2020,Wolves,320.33,9,0.0386
2019_2020,West Ham,303.6,10,0.0366
2019_2020,Bournemouth,272.18,11,0.0328
2019_2020,Newcastle,252.48,12,0.0304
2019_2020,Aston Villa,231.7,13,0.0279
2019_2020,Southampton,210.75,14,0.0254
2019_2020,Brighton,200.78,15,0.0242
2019_2020,Watford,199.6,16,0.024
2019_2020,Crystal Palace,189.33,17,0.0228
2019_2020,Burnley,163.88,18,0.0197
2019_2020,Norwich,145.33,19,0.0175
2019_2020,Sheffield United,138.6,20,0.0167
2020_2021,Man City,1040.0,1,0.1136
2020_2021,Liverpool,969.65,2,0.1059
2020_2021,Chelsea,889.2,3,0.0971
2020_2021,Man United,770.05,4,0.0841
2020_2021,Tottenham,703.5,5,0.0768
2020_2021,Arsenal,619.25,6,0.0676
2020_2021,Everton,511.2,7,0.0558
2020_2021,Leicester,510.6,8,0.0558
2020_2021,Wolves,450.3,9,0.0492
2020_2021,Aston Villa,430.7,10,0.047
2020_2021,West Ham,336.4,11,0.0367
2020_2021,Brighton,290.4,12,0.0317
2020_2021,Southampton,282.8,13,0.0309
2020_2021,Newcastle,255.35,14,0.0279
2020_2021,Fulham,239.75,15,0.0262
2020_2021,Leeds,238.1,16,0.026
2020_2021,Crystal Palace,193.85,17,0.0212
2020_2021,Sheffield United,149.85,18,0.0164
2020_2021,West Brom,141.15,19,0.0154
2020_2021,Burnley,132.3,20,0.0145
2021_2022,Man City,1000.0,1,0.1071
2021_2022,Liverpool,918.9,2,0.0984
2021_2022,Chelsea,914.5,3,0.0979
2021_2022,Man United,769.15,4,0.0824
2021_2022,Tottenham,689.35,5,0.0738
2021_2022,Arsenal,613.05,6,0.0657
2021_2022,Leicester,526.55,7,0.0564
2021_2022,Aston Villa,487.75,8,0.0522
2021_2022,Everton,479.05,9,0.0513
2021_2022,Wolves,376.95,10,0.0404
2021_2022,West Ham,354.9,11,0.038
2021_2022,Brighton,318.0,12,0.0341
2021_2022,Newcastle,313.9,13,0.0336
2021_2022,Leeds,299.45,14,0.0321
2021_2022,Southampton,274.3,15,0.0294
2021_2022,Brentford,273.3,16,0.0293
2021_2022,Crystal Palace,271.05,17,0.029
2021_2022,Norwich,163.2,18,0.0175
2021_2022,Watford,156.2,19,0.0167
2021_2022,Burnley,137.85,20,0.0148
2022_2023,Man City,1150.0,1,0.1016
2022_2023,Arsenal,1000.0,2,0.0883
2022_2023,Chelsea,994.95,3,0.0879
2022_2023,Man United,847.75,4,0.0749
2022_2023,Liverpool,811.85,5,0.0717
2022_2023,Tottenham,649.1,6,0.0573
2022_2023,Newcastle,541.6,7,0.0478
2022_2023,Brighton,529.8,8,0.0468
2022_2023,Aston Villa,509.55,9,0.045
2022_2023,Wolves,497.65,10,0.044
2022_2023,Leicester,490.7,11,0.0433
2022_2023,West Ham,465.6,12,0.0411
2022_2023,Southampton,419.95,13,0.0371
2022_2023,Everton,413.15,14,0.0365
2022_2023,Nott'm Forest,376.25,15,0.0332
2022_2023,Brentford,371.2,16,0.0328
2022_2023,Leeds,345.15,17,0.0305
2022_2023,Crystal Palace,323.05,18,0.0285
2022_2023,Fulham,295.1,19,0.0261
2022_2023,Bournemouth,287.2,20,0.0254
2023_2024,Man City,1460.0,1,0.1196
2023_2024,Arsenal,1200.0,2,0.0983
2023_2024,Chelsea,1010.0,3,0.0827
2023_2024,Liverpool,955.65,4,0.0783
2023_2024,Tottenham,838.5,5,0.0687
2023_2024,Man United,808.35,6,0.0662
2023_2024,Aston Villa,709.65,7,0.0581
2023_2024,Newcastle,652.25,8,0.0534
2023_2024,Brighton,524.4,9,0.0429
2023_2024,Nott'm Forest,501.35,10,0.0411
2023_2024,West Ham,487.5,11,0.0399
2023_2024,Crystal Palace,446.58,12,0.0366
2023_2024,Wolves,442.73,13,0.0363
2023_2024,Brentford,428.78,14,0.0351
2023_2024,Bournemouth,401.75,15,0.0329
2023_2024,Everton,391.75,16,0.0321
2023_2024,Fulham,384.35,17,0.0315
2023_2024,Burnley,273.48,18,0.0224
2023_2024,Sheffield United,152.35,19,0.0125
2023_2024,Luton,140.9,20,0.0115
2024_2025,Man City,1360.0,1,0.1076
2024_2025,Chelsea,1190.0,2,0.0942
2024_2025,Arsenal,1160.0,3,0.0918
2024_2025,Liverpool,950.95,4,0.0753
2024_2025,Man United,825.0,5,0.0653
2024_2025,Tottenham,777.3,6,0.0615
2024_2025,Aston Villa,680.55,7,0.0539
2024_2025,Newcastle,677.53,8,0.0536
2024_2025,Brighton,667.58,9,0.0528
2024_2025,Crystal Palace,526.85,10,0.0417
2024_2025,Bournemouth,518.6,11,0.041
2024_2025,Nott'm Forest,481.3,12,0.0381
2024_2025,Wolves,433.05,13,0.0343
2024_2025,Brentford,427.85,14,0.0339
2024_2025,West Ham,400.7,15,0.0317
2024_2025,Everton,363.23,16,0.0287
2024_2025,Fulham,362.35,17,0.0287
2024_2025,Southampton,310.05,18,0.0245
2024_2025,Ipswich,270.1,19,0.0214
2024_2025,Leicester,253.35,20,0.02
2025_2026,Man City,1390.0,1,0.1018
2025_2026,Arsenal,1330.0,2,0.0974
2025_2026,Chelsea,1150.0,3,0.0842
2025_2026,Liverpool,980.5,4,0.0718
2025_2026,Tottenham,813.4,5,0.0596
2025_2026,Man United,774.6,6,0.0567
2025_2026,Crystal Palace,702.5,7,0.0515
2025_2026,Newcastle,697.7,8,0.0511
2025_2026,Bournemouth,680.98,9,0.0499
2025_2026,Nott'm Forest,638.68,10,0.0468
2025_2026,Brighton,625.0,11,0.0458
2025_2026,Aston Villa,613.98,12,0.045
2025_2026,Brentford,503.58,13,0.0369
2025_2026,West Ham,469.73,14,0.0344
2025_2026,Everton,459.25,15,0.0336
2025_2026,Sunderland,446.68,16,0.0327
2025_2026,Wolves,389.85,17,0.0286
2025_2026,Fulham,376.2,18,0.0276
2025_2026,Leeds,374.2,19,0.0274
2025_2026,Burnley,236.0,20,0.0173
